,STATE,AM I REGISTERED?,WHERE IS MY BALLOT?,SAMPLE BALLOT,STATE PAGE OVERSEAS VOTERS,NOTES
1,AL,Good,Good,https://www.sos.alabama.gov/alabama-votes/2020-primary-election-sample-ballots,Good,
2,AK,Good,Good,http://www.elections.alaska.gov/Core/sampleballots.php,Good,
3,AR,https://www.voterview.ar-nova.org/voterview,https://www.voterview.ar-nova.org/voterview,https://ballotpedia.org/Sample_Ballot_Lookup?utm_source=ballotpedia&utm_campaign=sample_ballot_frontpage,https://www.sos.arkansas.gov/elections/military-and-overseas-citizens,"Heidi, VPN required for this state. Should we call the SOS and bring it to their attention? TAH Yes, but I set up a separate list to deal with it separately (see ""VPN"" tab). FYI, I don't have a VPN but was able to see these websites from Canada -Heidi"
4,AS,https://aselectionoffice.gov/status.php,https://aselectionoffice.gov/status.php,Good,https://aselectionoffice.gov/node/6,
5,AZ,https://my.arizona.vote/WhereToVote.aspx?s=individual,Good,Good,https://my.arizona.vote/UOCAVA2/default.aspx,
6,CA,Good,Good,Good,https://www.sos.ca.gov/elections/voter-registration/military-overseas-voters/,"I changed the voter reg link to say ""good"". I prefer to use the link that's on the page currently rather than the one you had (https://voterstatus.sos.ca.gov/) as that one requires a CA state ID, which most overseas voters don't have. If you go to the individual counties, many only require a SSN.-Heidi "
7,CO,Good,Good,https://myballot.sos.colorado.gov/app/home,https://www.sos.state.co.us/pubs/elections/UOCAVA.html,"Current link for VFA ""Where is my ballot?"" takes you to voter/parish information/registration (like CT). However, if you search the state webpage, there is an icon for ""Track my ballot"". When you select the state ""track my ballot"" icon, it takes you to voter parish information. Does this mean we should not correct the VFA? Would you prefer the landing page to be ""track my ballot"" on the state website or voter/parish information? Let's keep as is. I had a CO voter check and when you use the website, it shows both voter reg and ballot info. So even if people are confused when they see it, when they try it it'll work. -Heidi"
8,CT,https://portaldir.ct.gov/sots/LookUp.aspx,https://portaldir.ct.gov/sots/LookUp.aspx,Good,https://portal.ct.gov/SOTS/Election-Services/Military-and-Overseas-Voters/Military-and-Overseas-Voters,"Kelli: On the Military and overseas voter page there is an icon that says, ""track your ballot."" If you select that icon you end up at the check my voter registration page. This leads me to believe they are one in the same. However, most likely if a state website does not direct you to that page for track your ballot then voter registration and track your ballot is different. Finally, watch the titles of the pages. Sometimes they will say, ""to track your ballot or check voter status fill out this form."" Hope this helps. Current link for ""Where is my ballot?"" takes you to voter registration page, but it is possible the ballot can be tracked as well. Let's keep as is. A lot of times the Voter Registration page will also give you our ballot status (eg., ""yes you're registered and your ballot went out on this date"") - Heidi"
9,DC,https://www.dcboe.org/Voters/Register-To-Vote/Check-Voter-Registration-Status,https://www.dcboe.org/Voters/Absentee-Voting/Track-Absentee-Ballot,https://ballotpedia.org/Sample_Ballot_Lookup?utm_source=ballotpedia&utm_campaign=sample_ballot_frontpage,Good,
10,DE,https://ivote.de.gov/voterview,https://ivote.de.gov/voterview,https://ballotpedia.org/Sample_Ballot_Lookup?utm_source=ballotpedia&utm_campaign=sample_ballot_frontpage,https://elections.delaware.gov/military/index.shtml,
11,FL,Good,Good,https://registration.elections.myflorida.com/CheckVoterStatus,https://dos.myflorida.com/elections/for-voters/voting/military-and-overseas-citizens-voting/,"vote-usa.org as sample/ no .gov links. Heidi, I included the government link for sample ballot. It looks better to me. Up to you of course. Thanks Kelli for bringing this to our attention TAH. I agree, let's use the Fl sample ballot link - Heidi"
12,GA,Good,Good,https://www.mvp.sos.ga.gov/MVP/mvp.do,https://sos.ga.gov/index.php/elections/military_and_overseas_voting2,
13,GU,N/A,N/A,Good,https://gec.guam.gov/index.php/for-voters/absentee-voting,"I double checked Kelli-it looks right to me. Thanks for double-checking, and not suprised, the territories can be pretty minimal - Heidi"
14,HI,Good,https://elections.hawaii.gov/voters/i-am-a/military-and-overseas-voters/,https://olvr.hawaii.gov/altballotsearch.aspx,https://elections.hawaii.gov/voters/i-am-a/military-and-overseas-voters/,
15,IA,Good,Good,Good,https://sos.iowa.gov/elections/voterinformation/uocava/voterreg.html,
16,ID,https://idahovotes.gov/,https://idahovotes.gov/,Good,https://sos.idaho.gov/elect/clerk/Manuals/2016_UOCAVA_Procedures.pdf,"Heidi, you need a VPN to access this state's website. Kelli, like so many others does not have a VPN. I don't have an VPN either and can't see from Canada. - Heidi"
17,IL,Good,N/A,Good,https://www.elections.il.gov/VotingAndRegistrationSystems/Military.aspx?MID=HvSqs5NE9ks%3d&T=637220297151669103,
18,IN,Good,N/A,Good,https://www.in.gov/sos/elections/2673.htm,
